Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;4579.20; 0.529800;2.724934;0.726928;1.998006;5.136590;1.370282;0.753262;0.0000;
;4600.80; 0.530279;2.720283;0.724254;1.996029;5.116537;1.362239;0.750860;0.0000;
;4622.40; 0.530216;2.716076;0.720969;1.995108;5.114579;1.357639;0.751388;0.0000;
;4644.00; 0.529922;2.711210;0.718038;1.993172;5.100416;1.350796;0.749924;0.0000;
;4665.60; 0.530604;2.707594;0.715796;1.991798;5.095945;1.347195;0.749750;0.0000;
;4687.20; 0.530693;2.705156;0.714684;1.990472;5.084998;1.343422;0.748315;0.0000;
;4708.80; 0.530252;2.707350;0.716608;1.990742;5.092004;1.347802;0.748840;0.0000;
;4730.40; 0.529879;2.709205;0.716873;1.992332;5.094881;1.348138;0.749349;0.0000;
;4752.00; 0.530197;2.708354;0.715407;1.992947;5.094252;1.345639;0.749723;0.0000;
;4773.60; 0.529831;2.704618;0.713562;1.991057;5.092885;1.343660;0.749845;0.0000;
;4795.20; 0.530101;2.705217;0.712125;1.993092;5.092186;1.340473;0.750343;0.0000;
;4816.80; 0.529415;2.703925;0.712260;1.991665;5.095348;1.342202;0.750629;0.0000;
;4838.40; 0.529123;2.700389;0.709482;1.990907;5.088890;1.337021;0.750374;0.0000;
;4860.00; 0.528487;2.696469;0.707092;1.989377;5.085328;1.333519;0.750362;0.0000;
;4881.60; 0.528659;2.700056;0.708469;1.991586;5.095088;1.336903;0.751637;0.0000;
;4903.20; 0.528329;2.714474;0.722898;1.991576;5.122471;1.364178;0.751659;0.0000;
;4924.80; 0.528765;2.711907;0.720501;1.991406;5.115965;1.359212;0.751350;0.0000;
;4946.40; 0.528435;2.712963;0.720940;1.992022;5.123099;1.361408;0.752338;0.0000;
;4968.00; 0.528172;2.712650;0.721362;1.991288;5.114816;1.360159;0.750931;0.0000;
;4989.60; 0.527944;2.710772;0.719875;1.990897;5.121349;1.360030;0.752264;0.0000;
